9d005c79c4	7d3e1	সুধীরের এই মন্তব্য
9d0090ae55	82926	মিডিয়ার সামনে এসে
9d00abe85a	0d8c1	টেবিলের বাড়া ভাত
9d00b479f1	f1240	সব স্ট্যাটাস
9d00b9c573	d5f7b	শ্রমিকের যথার্থ নিরাপত্তা দিয়ে
9d00cfa983	baa02	যেখানে থাকে
9d00f502f4	2ad74	স্বামীর বন্ধুটির সঙ্গে
9d01837597	f2097	পুলিশের ভূমিকায়
9d018da62a	1c618	কাল থেকেই
9d01927f39	3fb17	ভারতীয় এজেন্ট
9d02400af2	25117	জামা
9d024896bd	db735	পথে অপথে ছুটিয়া বেড়ায়
9d02e0bc3a	24f73	ডাইনিং টেবিল
9d037949b7	8b859	চিমটি কাটতে হচ্ছে তার
9d0397ec88	68549	আলতাফ চৌধুরীর মাধ্যমে
9d03a77b27	eaa7a	যদিও বেশির ভাগ পর্তুগিজ
9d03f0d313	616ec	কোনটা বেশি জরুরি
9d04d151ea	91223	হাজার বছরের
9d051addff	6da0a	অবন্তি বিশ্বাস ওরফে অপু
9d05240c44	49543	মরিচ-হলুদ-ধনে-জিরাগুঁড়া
9d053509be	09f0d	তড়িৎ প্রবাহের
9d05929eaf	2d98b	বিস্ময়ে হতবাক করেছে
9d05abbf70	9813c	তবে এই ক্ষমতা
9d05c44fff	ce775	কিন্তু কোন পক্ষ
9d063d6530	66c6b	গ্রাহকরা স্বস্তির মাধ্যমে
9d06787c85	bd576	তারও বরখেলাপ হবে
9d07077ad8	08458	বদলে যায় সব
9d07445c55	2695f	ভাবছিলাম সন্তান হলে
9d0780eaea	e31e7	তাহলে তাঁর জ্ঞান হারানো ছাড়া
9d07bd141f	60b9d	মোবাইল যে দু’জনের কাছ থেকে
9d084e61b2	2840e	কোয়াটারমেইনের পার্শ্বচর হিসেবে
9d08a9bc9a	9065c	প্রেমিকা
9d08d78be0	cfc65	ঠান্ডা জলে গোসল সারেন
9d090220ff	5cb47	কথা কাটাকাটি হয়
9d0921576d	4f450	লিভারপুল শেষ পর্যন্ত
9d096caab2	93d3b	সম্ভাবনা নিয়ে
9d09bd5a55	7898e	গ্লসি এ কাগজের মলাটে
9d09cc1f24	91dff	বাংলাদেশের সাবেক
9d0a490f19	a4750	চোখ অন্ধ হয়ে যেতে পারে
9d0aa7c315	8845d	অপেক্ষা না করিয়া
9d0abc1935	693cb	ঘোষণা করব
9d0ac81759	e6d83	এমনটা ভাবে, ভাবুক
9d0b7c30bf	0edef	আপত্তি জানিয়ে আসলে
9d0b9d19bd	5a61c	সেপ্টেম্বর পর্যন্ত পোশাক খাতে
9d0bc40a69	8c07c	দেওয়ালের কোণে
9d0c2cdf92	2c9c5	অভিজ্ঞতায়ও বাংলাদেশের চেয়ে এগিয়ে
9d0c327d04	3b1f7	বিবেকানন্দ মুক্তি অর্জনের জন্য
9d0cfb331b	e2ff7	নোমানের তো সবই হইল
9d0d71b1c4	52578	অধ্যক্ষ স্যার লিমনকে
9d0d8a2ab9	91223	ওই সময় তার কাছ থেকে
9d0e0ee62e	7c272	প্রথমবারের মতো ঘটলো
9d0e5a0d77	39293	কী যে বলেন, বশীর ভাই
9d0ee5275f	282d3	নীলচক্ষু সোনালী চুলের
9d0eeafac6	b8bba	র‍্যাবের সদস্যদের বিরুদ্ধে
9d0eed9a37	6d129	তারপর শোবার ঘরে চলে যাবে
9d0f5581eb	ee886	সোমবার জাতীয় সংসদের অধিবেশনে
9d0ff81777	8406e	বিশাল বাহিনী, গাড়ির বহর
9d103e25f5	4dd57	কোমড় জল ভাঙ্গিয়াই
9d1044158a	92f59	ভূমিকা রয়েছে
9d104f808f	dfefa	মুক্তা রাণী নামে
9d10f69c07	baa02	স্কুল-কলেজ-মাদ্রাসার
9d1132369a	1f733	পুরাণের মধ্যে যে সকল পুরাণে
9d11a70ea8	49543	তারা এখনো এক অর্থে
9d11ca469c	2fc12	মোহনগঞ্জ গিয়েছিলেন
9d11d13b61	7d133	পরাজিত করার দিনটি
9d11de533c	1652d	পুনর্বিন্যস্ত করে
9d11e8d8c7	92bb2	নিবিষ্ট হইয়া
9d12133919	8406e	দেশকে শান্তি
9d12499883	06ea3	বাইসাইকেল কিকে
9d12af2024	a699c	ওর মুখের সামনে
9d12c36cc6	e8dde	বেকেরেল তেজস্ক্রিয় বিকীরণ সংক্রান্ত
9d12de5f77	2c9c5	কারখানায় ভাঙচুর করেছে শ্রমিকরা
9d12e57d20	fb4cb	শঙ্করের জানা ছিল
9d1316a173	1cb75	একপ্রকার নাই
9d135567fe	db735	প্রাচীন সমাজে
9d140793ec	92bb2	১৯৩৮ সালের আগে
9d14092ef1	7027a	তাতে পরকালটি নিয়ে
9d140b679e	7b132	গ্রীষ্মকালীন ছুটির মধ্যেই
9d1420dd31	32998	বাঙলা দেশের উপর দিয়েও
9d14302a1f	8845d	গৃহ-শ্রমিকের কাজে
