0b00997765	79b06	পশ্চিম দিকের
0b009b7385	8E+099	বিস্মিত করেছিল
0b00eae393	18a52	অনুগ্রহ প্রকাশ করা
0b012025b4	15a75	নিজের গল্প থেকে
0b012139fc	9092b	টেন্ডার থেকে নিয়োগ
0b01387a19	509f6	চিত্রলিপি থেকে
0b020fb522	c463d	ভয়াবহ ঘটনার পর
0b021fa485	85430	এ রকম পরিস্থিতিতে
0b028c4c80	554fe	নির্বাচনে জনমতের প্রতিফলন ঘটে না
0b029e5576	d9817	কাগুজে বাঘ
0b02a9e95b	b08d0	বাংলাভাষীদের নিকট
0b02da8cd1	323f1	ট্রাইব্যুনালের হাজতখানা থেকে
0b0334af23	39293	গুলশান থানায় একটি মামলা করলে
0b03ac39dc	e3f89	মর্গে পাঠানো হয়েছে।
0b03e4411e	fda1a	সাহাবউদ্দিনকে দেখতে
0b043937c7	0c39f	কোনও দেশের ছবি
0b04678d5a	9d46f	পোলাও
0b04e1ba01	554fe	তিনি পরে
0b0507fa9f	7b900	জিএইচ আরজু
0b054d1381	e3f89	এমন প্রেক্ষাপটে বিশ্বব্যাংক বলছে
0b05632f6d	f2b7d	একজন সেনা আহত হন
0b05e6c7a5	6b437	মুদ্রা সংরক্ষণের
0b05ea847c	2aecc	পুনম সিনেমা হলের সামনে
0b0607ac8f	9351a	লতা মঙ্গেশকর
0b06598095	77f82	অথবা আপনি নিচের
0b0663d328	315000000000	ঘরজামাই
0b069e3b4d	a1d4a	এল আর বি-র শিল্পীরা বলেছেন
0b06b424b1	420df	২ পৃষ্ঠার ছোট্ট লেখাটি থেকে
0b06c6200e	3d17c	দিন দিন সুনাম
0b075a8785	c7a89	ইলিয়াস আলীসহ
0b078a1f95	32998	থাইল্যান্ডে কয়েক সপ্তাহ ধরে
0b07cb9e2b	6aac8	বিষণ্ন দুপুর বাচ্চারা
0b07d65da2	cf82a	মোট ৩৭টি বৈধ
0b0850ab9f	f1ff2	হামলায় পুলিশসহ অন্তত
0b08648813	c5dc8	শিক্ষাবিদ নাজমা জেসমিন চৌধুরী
0b086775cb	cfc65	দেয়ালে ঝোলানো চিত্রকর্ম
0b086ca92d	0895a	সেই লোহিতে
0b0885812b	1a4a9	যথাযথ সুযোগ দেয়া
