f7000b2c0b	3f493	বাংলাদেশ দলকে যে
f700521f45	7898e	বড়া ভাজতে হবে
f70079654f	b8bdd	শুনুন বিবিসি বাংলার
f700cedc9a	355c1	নিহতদের মধ্যে
f700d06f79	7e191	ডুবে যাবে
f701a4d61d	25696	জনসন তখন জোর করে
f701bd13e8	8ba2b	যাবজ্জীবন কারাদণ্ডের নির্দেশ দেন
f701c0b494	2de86	ওয়াশিংটনে উড্রো উইলসন সেন্টারের
f70276ab79	5e80b	প্রেসিডিয়ামের সদস্য
f70381080b	88654	ম্যানেজমেন্ট ইনফরমেশন সিস্টেম
f703ea9f28	80be1	ওয়ানডে সিরিজে খেলতে পারেননি
f70440cdf3	9f25e	তাঁর নাগরিকত্ব ছিনিয়ে নেয়
f7047aefa4	717bb	ফোনে বিবিসি বাংলাকে বলেন
f705344c08	75626	আসলে লক্ষ কোটি বছর আগে
f7054f2305	cd3ac	ততক্ষণ পর্যন্ত
f7057b0ab1	1652d	১৯৬৯ সালে সর্বপ্রথম জাপানী এই কার্টুনটি কমিকস হিসেবে প্রকাশিত হয়।
f7057e5f95	f4ba7	উদ্ধার কাজ চলছিল
f7060e7787	a06a1	মানুষে মানুষে সত্যিই ভাই-ভাই ভাব
f70629060a	f143a	মনের জানালা
f706331017	f1ea4	শুক্রবারের এই ভোটাভুটিতে
f706715183	ff970	দাতা সংস্থার তহবিল স্থানান্তর নিয়ে
f7069a0a2a	153c9	প্রাণনাশের হুমকি দিয়ে আসছিলো
f707d0ac21	698a4	অ্যাক্টিনাইড মৌল
f70809b771	0e637	কম্বলের পসরা সাজিয়ে বসেছে
f708952226	b8bba	বন্ধ করা যায় না
f709c6208a	4e900	কোনো ভয় নেই
f70a392c48	b8ed8	সেটা হয়ত
f70a4322cd	bf530	একটি বাড়ি একটি খামার প্রকল্প
f70a7613e0	2bd99	সে-সব বিষয়ে
f70af73c47	7ec1c	লুট করে নেয়
f70bf0645a	c4973	টেপ খুলতে গেলে
f70c5e97a0	b8bdd	বর্তমান সরকার
f70c973025	29f8c	এর আগে ২০১২ সালে
f70cec510d	aab0f	মানুষকে কষ্ট দেওয়ার কথা
f70cef22ff	0d8c1	এবার অনলাইনে
f70d8cff9b	e03ce	দ্বাদশ শতাব্দীর শেষ ভাগে
f70df4d8b6	efc0d	নদী-দেবতাদেরও
f70e0272f9	5b13f	কৃষ্ণের নিকট রাধা
f70e7fec8d	3fae0	কার্জনের জনসংযোগ
f70e8b067c	71522	ইতিহাস হয়ে যাবে
f70e9ee7d5	f29bf	এলার্জি
f70f3c9e7e	c0d65	পরিক্রমা করবে
f70fd9ab56	943de	হোসনে আরা বেগম বলেন
f70ffdcec7	4c1eb	নেদারল্যান্ডস ও স্পেনের মধ্যকার
f71041a337	33814	হারের জ্বালা নিয়েই
f710e90613	91dff	কেন মুরগির খোঁয়ারের দরজা
f7112803d9	14d25	কালের কন্ঠ পত্রিকা
f711e4f0c1	d8c80	অভিশাপ
f7122307c9	2d78f	ও ভ্রাম্যমাণ আদালতের
f7127b7fac	767ff	যেখানে সেখানে
f712dd3e40	0606d	তিন মেয়ের মধ্যে
f712f25c68	eaa7a	হেফাজতে ইসলামের নেতৃবৃন্দ
f71301dd93	1652d	নাহিদ আহমেদ পিয়ালের
f7132aa00d	5a61c	হাত-মুখ ধুয়ে
f7134cd8de	75626	ডিভিলিয়ার্স মাত্র ৩২ বলে
f714276748	f0f95	যদি ক্যানসারে ভোগে
f714dd1b9e	b9b98	সহজেই যাওয়া যায় জায়গা দুটিতে
f715133121	28dfc	নিউজিল্যান্ডের ডেইরি শিল্পের ওপর
f71521659f	29f8c	অস্তিত্বহীন তো নয়
f71598e4b9	d7a68	পরে দলীয় সমর্থন হারিয়ে
f715ca5b2e	db181	এরিস্টটল ছিলেন
f715da04af	acb88	উচ্ছেদ হওয়ার অভিজ্ঞতা রয়েছে
f715da118a	ac0df	এখান থেকে
f716a49e13	49543	সিগারেটের একমুখ ধোঁয়া ছেড়ে
f716ede013	321b6	সরকারের উচিত ছিল
f71707ec39	4fd66	দেশের বিভিন্ন অংশ থেকে এসে
f71892d742	86b1b	ঐশী ছাড়াও
f718a89317	9fa90	প্রথম দুই মাসে রপ্তানি ছিল
f718ae10f0	e9fa7	ভয়ঙ্কর ক্ষণিক,-তুমি আমি ক্ষণিক
f718b6da41	57d54	আলোচিত হয়
f719306804	274ee	নজরুলের জামিন করিয়ে দিতে বলেছিলাম
f7196dfabb	ced74	ঐশী আদালতে
f719cac915	491a5	সাবেক দলের বিরুদ্ধে
f719fefb97	46da4	ঢাকা মহানগর এলাকায়
f71a25de57	4bd2c	কার্ড জালিয়াতি হচ্ছে
f71a29ed00	07660	পেঁয়াজ, রসুন দিয়ে
f71a62104e	7df87	ব্যাপক চাঞ্চল্যের সৃষ্টি হয়েছে
f71a7ae4a5	778c0	দেখার উপায় নেই কারও
f71ac1f916	e2ff7	তার ওপর
f71afb3008	7e1d5	আসলে যা দরকার
f71b36135a	bcaa8	এগিয়ে যাওয়া সম্ভব হবে
f71bb0c196	7351e	আরো বেশী হবে
f71bdbc013	93d3b	নাসিমাকে আটকের
f71c39a700	f600a	দেখবে বলে
f71c4b8bce	f7a7f	যেসব সরকারি অফিসগুলোর
f71e02990c	31f2a	তার হাত-পা
f71e235920	0633a	অগ্র পিটুইটারি
f71e4b6cc8	54e68	হিন্দু হোক মুসলিম হোক
f71e546720	0606d	সেই মুখকে
f71e63796b	3fb17	এ গণঅনশন শুরু হয়
f71e6d29cd	5d12f	আঞ্চলিক পর্বের ফাইনালে উঠেছে
f71ed08c15	3ccf1	একই সঙ্গে দিশা গীত
f71f1336bf	c958a	প্রগতিশীল ছাত্র সংগঠনগুলো
f71f1a50de	7898e	থাইল্যান্ডের সেনাবাহিনী
f71fca23b2	cb842	সংলাপের জন্য
f720974db1	e754e	গণভোটে নির্বাচিত হোক
f720d8c729	13b6a	তিনি গল্পের শরীর রচনা করেন
f720ed39f5	da6f0	যে কোষ থাকে
f7213aed2d	2396d	অনুমান করা দরকার
f721d9666a	7f71c	স্ত্রীকে বলা হতো অপয়া
f721fb45a0	91b16	নতুন গতি পায়
f7229b6d98	0d8c1	কিছু প্রত্যাশা করা ভুল
f722df40d8	1e7c7	মানুষের ইতিহাস তার খোঁজ পায়নি
f722e33c38	9f25e	জনি
f7237022cf	6ab59	চাকরকে পাঠিয়ে
f7242e5c48	5cb47	গতকাল সোমবার রাত থেকেই
f7248cc409	e55de	একসঙ্গে দুই সন্তান রয়েছে
f7250cd534	0edef	দামি বইয়ের
f7251dbda9	6fb36	গুগল চালু করেছে
f725357f6d	06bb7	ছাদ থেকে ফেলে দিয়ে
f725540632	d82d9	এবং ভারতে
