4b009ad03a	91230	১৯০৮ খ্রীস্টাব্দে
4b00e6a528	bd576	যার আপেক্ষিক রোধ
4b00e8c5d5	fbb81	সুজন বিশ্বাস
4b01079825	28dfc	শেষ পর্যন্ত হয়তো
4b0127a3bb	15a75	রোববার দিনগত রাতে
4b0191dfb2	9092b	মাছরাঙা টেলিভিশনে
4b0356e1b1	d9817	লক্ষ্য করা গেলো না এমন দৃশ্য
4b03b39dfc	f600a	শনিবার ভোর থেকেই
4b03edeb50	7f71c	ওদের সাথে সময় কাটাতে
4b040e8e1b	7c272	তিনিও এ ধরনের আইনকে
4b04125cd6	ce629	ঘোষণা করেন তিনি।
4b04377337	d0c70	বড় বড় গোঁফ
4b05a2ee25	80e98	হাসপাতালে মৃত্যুর সঙ্গে
4b05a30b5a	7027a	সাহিত্য হয় না বলাতে
4b05fd3cad	5dd61	ইলেকট্রনের অবস্থান
4b06002cb9	b5fdc	সংস্কারের নাম নেই
4b06e11c4b	9d46f	বডি ম্যাসাজ
4b0719b0cd	b4ea7	এর সঙ্গে
4b071db468	4bd2c	জিনের বাতাস লাগলে
4b071f0a2d	0bace	বলা যাচ্ছেনা মন্তব্য করে
4b07274c5e	66c6b	মুর্শিদাবাদ জেলার
4b0750e054	7027a	র‍্যাব-এর সদস্যদের
4b077529c3	9065c	সম্মেলনে যোগ দিচ্ছে
4b07958122	3f875	এই, তোরা এসেছিস কবে
4b07a0c75b	0a87a	প্রবণতা দেখা দিল
4b083c9f91	ee7b2	এই দিনের স্মরণে
4b08750946	e55de	সলেমানপুর গ্রামে
4b087ccf01	d711f	কণ্ঠশিল্পী মনির খান
4b08f14607	39293	না খেয়ে সাড়ে তিন দিন
4b09878adb	43b04	দৈনিক ডেসটিনি
4b0a007baf	80e98	সনাক্ত করতে
4b0a813823	e43d4	খবর প্রকাশের সাথে সাথে
4b0ad1ffc4	28dfc	কোনো পার্থক্য তৈরি হবে
4b0af306d0	d2faf	ছিন্ন মস্তক তাঁহার কোল হইতে
4b0b857cd6	2ecf8	সতীশ জাগিয়া
4b0b87e554	b9a81	এএপির ওয়েবসাইটে গিয়ে
4b0b92cff9	eecdd	প্রধানমন্ত্রীর একজন মুখপাত্র
4b0c7ed84b	4dd57	সমাবেশে স্মৃতি
4b0cb47eba	7a227	ও ভোগ করার
4b0cc3b8a6	e6d83	ও নাজিম একই মঞ্চে
4b0ce17bd7	2d78f	এর আগেও ঘটেছে
4b0d2fb487	6b437	তবে, সভাপতি হলেও
4b0d5f62ee	c0965	বঙ্কিমচন্দ্রের প্রকাশিত সমস্ত লেখার
4b0e01bc9e	404ee	শীতাতপ নিয়ন্ত্রিত কামরায়
4b0e0bede3	23291	তার বয়স হয়েছিল ১০২ বছর
4b0e3b8c3c	590d0	চিরকালের মতো
4b0e979c96	14d25	তারাই হয়তো নিন্দা করতো
4b0e9f1831	2c9c5	ব্রহ্মপুত্র
4b0f56efbb	c173f	বাঁধা অবস্থায় ছিল
4b0f63cd9f	42898	চট্টগ্রাম টেস্টে
4b0fccc45f	8cf95	ভারতের রাজধানী দিল্লিতে
