2f00059359	a43b5	মোগল সম্রাট শাহজাহানের
2f00a3decf	21e54	চার উইকেট হারানোয়
2f00ccdddd	f2097	মানুয়েল ইতুরা
2f00d2719f	80539	রাতেই মৃত্যুর খবর
2f01163054	4a918	সিডি ওয়ার্ডের
2f0127a5ff	54e68	নকশা কাটা
2f013ba806	2695f	সারি সারি দাঁড়াইয়া রহিয়াছে
2f01f8d7bc	91b16	খানিক শরাব
2f01fd4c3c	efc0d	বাসের পেছনের দিকে
2f020aacff	73629	করিতে লাগিল
2f021fbaa3	29089	খ্যাতি অর্জন করেন
2f024604f5	e31e7	আলোচনা-সমালোচনার কেন্দ্রে
2f03098704	15a75	সেনা মোতায়েন করতে চায় ইসি
2f031a296d	5b13f	ঢাকায় এশিয়া কাপ ক্রিকেটে
2f03979d62	7ee9b	সার্বক্ষণিক নিরাপত্তায় কাজ করবে
2f03a8fdd0	0f047	দুর্বিষহ করছে
2f03c38ab4	c7705	প্রাকৃতিক গ্যাস আহরণের
2f03df8b07	717bb	ধারণা করা হয়
2f04bb5615	adf01	মাহমুদা
2f05176332	745b7	দাদুর হয়ে যায়
2f05497bc3	2d98b	অন্যান্য সদস্যের মতো
2f05578416	fcefa	র‌্যাম্প মডেল
2f0563a79c	a7c6f	খবরে বলা হচ্ছে
2f05d46481	6ee5f	শেষ পর্যন্ত বিফল হয়েছিল
2f06724bf4	91b16	মেয়েটি হেসে হেসে
2f06777dc9	a4750	পদ্মা সেতু
2f068f24d8	db735	কয়েকশ’ হেক্টর জমির
2f06d30f5b	0606d	পিছনে সরিয়া আসিতেছে
2f06d9c136	59c73	নির্যাতন - গৃহযুদ্ধ
2f06f73ea2	b8bba	মানুষ স্বতঃস্ফূর্ত ভাবে
2f0707d2d7	2695f	শেখ মুজিবের অবদান
2f07b72038	6d129	তিনি জানতেন যে
2f08046de3	c4973	৫ জন ওয়েডিং
2f0845cca6	25117	এখন প্রায়ই
2f08752d26	eecdd	সাধারণত স্থাবর সম্পত্তির
2f09092377	b00ba	তিনি পুরোপুরি
2f090fcc2b	09b32	কাজে লাগানোর আহ্বান জানান তিনি
2f092d593d	bfac7	এগোতে শুরু করেন
2f094ea0be	d0c70	এই কথাগুলি বলিবার তাৎপর্য
2f09c0bc8c	16877	এসেছে বেশিরভাগ
2f09cffd26	c2082	প্রতিষ্ঠিত ব্যবসা কেন্দ্রের সঙ্গে
2f0a430d28	6973e	মূল্যবান সম্পত্তি বিশেষ হইয়া পড়িয়াছি
2f0afddf57	eecdd	এ বিষয়ে আজ সকালে
2f0b40c326	f6e55	বিশ্ব সাহিত্য কেন্দ্র
2f0b698bac	d136b	অন্তর্বর্তীকালীন চুক্তি
2f0bad322a	410fa	ফিফা প্রতিবছর বাফুফেকে
2f0bc4f5ce	60b9d	ষাট কোটির বেশি ভারতীয় প্রতিদিন খোলা জায়গায় মলত্যাগ করে।
2f0c15afe8	0f047	আমরা ঘুমোই
2f0c27627c	6aac8	একদল বালক-বালিকার
2f0c3dace8	f2780	মেধাবী শিল্পী
2f0c468b27	92bd8	আর নড়ছে না, কাতরাচ্ছে না
2f0c6aae7d	f658d	আগামী ২ থেকে
2f0cf12280	9065c	বা ব্যবস্থা নেয়া হয়না
2f0d45132e	72649	বাসসহ বিভিন্ন গণপরিবহনের অভাবে
2f0eb10ae4	fda1a	বাংলা ভাষার উৎপত্তি
2f0ef5084b	80be1	পাঁচ নাবিক
2f0f1f06c9	58998	রুমির মা নাসিমা আক্তার
2f0f5b4fbe	43fc0	ফজলি, তরে আমি
2f0fede116	f6e55	তেমন কোনো রোগবালাই না থাকায়
2f101bd40a	43b04	চিনতে হচ্ছে নিজেকে
2f103c9b50	ea8fa	শত শত লোক প্রাণ হারায়
2f104a4cbd	a06a1	যেন সেই মুহূর্তে
2f104b9025	c173f	বিকল্প ভেন্যু হিসেবে ঢাকার পর
2f107c87ce	da6f0	পরামর্শক হিসেবে কাজ করছেন তিনি
2f10b03246	d9817	নারীরা পুরুষদের তুলনায়
2f10f900fd	14816	আজকের বিশ্ব
2f111d1320	06736	বেশ কিছু রোগে
2f118e9132	22096	হার্বাল শ্যাম্পু খুব ভালো
2f12ac4802	a7c6f	এরাও নড়ে না
2f12e83c71	7d004	অসম প্রেম
2f134582ab	71522	যদি কোন কারখানা
